pair,entry_date,exit_date,direction,entry_pos,entry_z,exit_z,n_days,trade_pnl,trade_id,dir_norm,action,reason,pnl_mult,pnl_conditioned
NU-XP,2026-02-23,2026-05-01,LONG,1.0,-3.350982108332483,-0.4980188604401857,67,-0.8602397499401848,82,1,BLOCK,earnings,0.0,-0.0
NU-XP,2026-05-15,2026-05-29,LONG,1.0,-2.511062403713743,-0.4610995470887655,14,1.024602242496487,83,1,BLOCK,earnings,0.0,0.0
ERJ-NU,2023-03-23,2023-04-27,SHORT,-1.0,2.401136627691019,0.3368899209920292,35,0.6809513151267348,84,-1,ALLOW,clear_allow,1.0,0.6809513151267348
ERJ-NU,2023-10-05,2023-11-03,LONG,1.0,-2.0803856452112077,-0.3595546395637577,29,0.5286302765749448,85,1,BLOCK,earnings,0.0,0.0
ERJ-NU,2023-11-30,2024-01-04,SHORT,-1.0,2.399287751128537,0.456808805099904,35,-0.0857569926429888,86,-1,ALLOW,clear_allow,1.0,-0.0857569926429888
ERJ-NU,2024-03-14,2024-06-14,SHORT,-1.0,2.359548394742492,0.3958431197003759,92,-5.901485409242756,87,-1,BLOCK,earnings,0.0,-0.0
ERJ-NU,2024-09-04,2024-10-09,SHORT,-1.0,2.1335048223637485,0.4626455145488737,35,0.347902100476813,88,-1,ALLOW,clear_allow,1.0,0.347902100476813
ERJ-NU,2024-11-11,2025-02-04,SHORT,-1.0,2.2507545924419077,0.4260159591434967,85,-4.8038604898467945,89,-1,BLOCK,earnings,0.0,-0.0
ERJ-NU,2025-02-05,2025-04-02,SHORT,-1.0,2.6669989529027225,0.4535275366843541,56,-3.921021464197757,90,-1,BLOCK,earnings,0.0,-0.0
ERJ-NU,2025-06-18,2025-07-16,SHORT,-1.0,2.4692093340279326,0.0449740710041395,28,1.166197490880518,91,-1,ALLOW,clear_allow,1.0,1.166197490880518
ERJ-NU,2025-07-31,2025-08-20,SHORT,-1.0,2.045891289744364,0.4316728727452126,20,2.4554558292609725,92,-1,BLOCK,earnings,0.0,0.0
ERJ-NU,2025-10-28,2025-11-21,SHORT,-1.0,2.9859128324150963,0.0003960711721874,24,4.150698177762644,93,-1,BLOCK,earnings,0.0,0.0
MELI-VTEX,2023-06-26,2023-07-31,LONG,1.0,-2.6734676385077085,-0.4450866274623626,35,35.30378749216092,94,1,ALLOW,clear_allow,1.0,35.30378749216092
MELI-VTEX,2023-09-01,2023-09-21,SHORT,-1.0,2.4689827949912764,0.4816020141508252,20,57.87969964915655,95,-1,ALLOW,clear_allow,1.0,57.87969964915655
MELI-VTEX,2023-11-24,2024-01-03,SHORT,-1.0,2.036161965793027,0.404808295493703,40,-3.722419293185368,96,-1,ALLOW,clear_allow,1.0,-3.722419293185368
MELI-VTEX,2024-02-22,2024-02-23,SHORT,-1.0,2.274403924372454,-0.4165423730641299,1,-1.0696708605849323,97,-1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2024-03-05,2024-05-02,LONG,1.0,-2.1422948166914826,-0.2103052136606568,58,-32.53412046051261,98,1,ALLOW,clear_allow,1.0,-32.53412046051261
MELI-VTEX,2024-05-17,2024-06-11,SHORT,-1.0,2.010755041301466,0.4127784522608234,25,130.15072349827057,99,-1,ALLOW,no_evidence_allow,1.0,130.15072349827057
MELI-VTEX,2024-08-02,2024-10-02,SHORT,-1.0,2.529878058254695,0.2888628114621257,61,-236.5705671574063,100,-1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2024-11-07,2024-11-22,LONG,1.0,-3.662660242500992,-0.0627691979681634,15,207.43671475766013,101,1,ALLOW,clear_allow,1.0,207.43671475766013
MELI-VTEX,2024-12-09,2025-01-16,LONG,1.0,-2.0753113031566746,-0.4735676579390442,38,-3.28787623600698,102,1,ALLOW,clear_allow,1.0,-3.28787623600698
MELI-VTEX,2025-02-14,2025-03-31,SHORT,-1.0,2.139674250825342,0.0358513140626541,45,5.859896741551097,103,-1,BLOCK,earnings,0.0,0.0
MELI-VTEX,2025-04-29,2025-06-10,SHORT,-1.0,2.120858786416796,0.4602175766056512,42,-116.74362751031263,104,-1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2025-10-01,2025-10-27,LONG,1.0,-2.6129714669646327,-0.3138785912999466,26,-25.6908486484935,105,1,BLOCK,earnings,0.0,-0.0
MELI-VTEX,2025-11-20,2025-12-04,LONG,1.0,-2.2373631087280232,-0.4191427868504714,14,204.24232477515295,106,1,ALLOW,clear_allow,1.0,204.24232477515295
MELI-VTEX,2026-01-27,2026-02-03,SHORT,-1.0,2.0867355851566005,0.4520570986053699,7,136.9790203297904,107,-1,BLOCK,earnings,0.0,0.0
MELI-VTEX,2026-02-25,2026-04-13,LONG,1.0,-2.8140280577130503,-0.3876438762413356,47,-41.29139659879223,108,1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2023-04-13,2023-05-03,SHORT,-1.0,2.089851634871942,0.4979023156324841,20,0.0433079288131794,109,-1,ALLOW,no_evidence_allow,1.0,0.0433079288131794
BBAR-SUPV,2023-06-06,2023-07-14,SHORT,-1.0,2.0098399823718394,0.0281491256542918,38,-0.0618961198177203,110,-1,ALLOW,no_evidence_allow,1.0,-0.0618961198177203
BBAR-SUPV,2023-11-20,2023-11-22,SHORT,-1.0,2.847285693348417,-2.5670072479862083,2,0.1860131173361738,111,-1,BLOCK,earnings,0.0,0.0
BBAR-SUPV,2023-11-22,2024-01-26,LONG,1.0,-2.5670072479862083,-0.4627021883271009,65,-0.4967444385555467,112,1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2024-03-05,2024-05-23,SHORT,-1.0,2.25730948006412,-0.2433987502023794,79,-0.7503004393163422,113,-1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2024-06-03,2024-06-06,SHORT,-1.0,2.108357886397524,0.4071515838193415,3,0.1515013221820931,114,-1,ALLOW,no_evidence_allow,1.0,0.1515013221820931
BBAR-SUPV,2024-06-28,2024-07-09,LONG,1.0,-2.3866140189650573,0.2457056372133329,11,0.4260708462332897,115,1,ALLOW,no_evidence_allow,1.0,0.4260708462332897
BBAR-SUPV,2024-08-15,2024-08-26,SHORT,-1.0,2.5673354498938146,0.4761683706550326,11,0.2429100896303119,116,-1,BLOCK,earnings,0.0,0.0
BBAR-SUPV,2024-09-04,2024-11-27,SHORT,-1.0,3.114036936484992,0.4459542225148233,84,-1.421376817200494,117,-1,ALLOW,no_evidence_allow,1.0,-1.421376817200494
BBAR-SUPV,2024-12-18,2025-01-02,LONG,1.0,-2.30532675660267,-0.0324881105179837,15,0.900039366225807,118,1,ALLOW,no_evidence_allow,1.0,0.900039366225807
BBAR-SUPV,2025-05-13,2025-05-20,SHORT,-1.0,2.5708849209966576,0.1604642335670111,7,0.3592454909097462,119,-1,BLOCK,earnings,0.0,0.0
BBAR-SUPV,2025-05-21,2025-05-22,SHORT,-1.0,2.017538497093557,-0.475607748985249,1,-0.0192034879041822,120,-1,BLOCK,earnings,0.0,-0.0
BBAR-SUPV,2025-05-27,2025-07-01,SHORT,-1.0,2.634919073289318,0.4037988441844121,35,-0.0429668124064029,121,-1,ALLOW,no_evidence_allow,1.0,-0.0429668124064029
BBAR-SUPV,2025-08-26,2025-10-27,LONG,1.0,-2.060622221336957,-0.1383011102804522,62,-0.8897233267766957,122,1,ALLOW,clear_allow,1.0,-0.8897233267766957
BBAR-SUPV,2025-11-26,2026-02-09,SHORT,-1.0,2.5427336890593817,0.3555042821157366,75,-2.0347138972583965,123,-1,ALLOW,clear_allow,1.0,-2.0347138972583965
BBAR-SUPV,2026-05-11,2026-05-29,SHORT,-1.0,2.706289256004914,2.56359467267234,18,-1.1042616869902768,124,-1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2023-05-22,2023-06-08,SHORT,-1.0,2.6409801525600556,0.2777879221183962,17,0.1730174640690691,125,-1,ALLOW,no_evidence_allow,1.0,0.1730174640690691
PAX-VINP,2023-06-16,2023-06-22,LONG,1.0,-2.176588527484866,-0.3085605769022937,6,0.5447860570539158,126,1,ALLOW,no_evidence_allow,1.0,0.5447860570539158
PAX-VINP,2023-06-26,2023-07-17,LONG,1.0,-3.2172485472008865,-0.4099491357582552,21,0.6606276575210551,127,1,ALLOW,no_evidence_allow,1.0,0.6606276575210551
PAX-VINP,2023-10-11,2023-11-10,LONG,1.0,-2.31761568534658,-0.4242547201866825,30,-0.022149050998518,128,1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2023-12-14,2024-01-08,SHORT,-1.0,2.0510127203637873,0.3646395252333446,25,0.3819830156883824,129,-1,ALLOW,no_evidence_allow,1.0,0.3819830156883824
PAX-VINP,2024-04-26,2024-07-15,LONG,1.0,-2.159743167168015,-0.3969291305367481,80,-0.8209511693575298,130,1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2024-08-01,2024-08-30,LONG,1.0,-2.2870024920964935,-0.2113545844980726,29,-0.0073622129150244,131,1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2024-11-06,2024-12-18,SHORT,-1.0,2.452289944631912,0.4918555141454831,42,-0.4973286864829153,132,-1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2025-03-28,2025-05-06,LONG,1.0,-2.0602886204861037,-0.4160505893162631,39,-0.2156220997017343,133,1,ALLOW,no_evidence_allow,1.0,-0.2156220997017343
PAX-VINP,2025-05-13,2025-07-21,SHORT,-1.0,2.0827244315377844,0.3872200085268052,69,-1.5095210201897469,134,-1,ALLOW,no_evidence_allow,1.0,-1.5095210201897469
PAX-VINP,2025-09-15,2025-09-26,SHORT,-1.0,2.358952247609696,0.2395203023951014,11,0.3983678271409654,135,-1,ALLOW,no_evidence_allow,1.0,0.3983678271409654
