trade_id,pair,entry_z,exit_z,n_days,trade_pnl,entry_stress,stress_band,halflife,reversion
17,GLOB-NU,2.1179739846572803,0.4439129047979164,62,-27.983928910068546,2.1179739846572803,stress,6.268469659188239,FAST
18,GLOB-NU,-2.007923110419537,-0.4487989209016494,154,-95.35306864456032,2.007923110419537,stress,6.268469659188239,FAST
19,GLOB-NU,-2.2395268637796972,-0.113535817854791,90,-56.357701942310754,2.2395268637796972,stress,6.268469659188239,FAST
20,GLOB-NU,-2.6597832824769982,-0.2822785017697271,9,0.4126783765282091,2.6597832824769982,stress,6.268469659188239,FAST
21,GLOB-NU,-2.5970371611679153,-0.21414489986231,8,15.682573755489807,2.5970371611679153,stress,6.268469659188239,FAST
22,GLOB-NU,-2.158846976902424,0.4784629199281224,77,34.95864693344791,2.158846976902424,stress,6.268469659188239,FAST
23,GLOB-NU,2.2964458571445174,1.217412053391074,14,14.153713754526423,2.2964458571445174,stress,6.268469659188239,FAST
24,MELI-NU,-2.0846249851456906,-0.4777456296817053,68,-138.3663450721211,2.0846249851456906,stress,6.812048070720778,FAST
25,MELI-NU,2.292563657623329,0.4594490345910516,27,44.48549274798384,2.292563657623329,stress,6.812048070720778,FAST
26,MELI-NU,2.200430506469456,0.4877178969362152,37,66.8000909819484,2.200430506469456,stress,6.812048070720778,FAST
27,MELI-NU,-2.174940283124939,-0.2625886729736689,69,-221.44513257765277,2.174940283124939,stress,6.812048070720778,FAST
28,MELI-NU,2.031155878501114,0.3343901808417093,16,137.07297277468345,2.031155878501114,stress,6.812048070720778,FAST
29,MELI-NU,2.9866173691009603,0.3854722510544476,74,-34.761930095773494,2.9866173691009603,stress,6.812048070720778,FAST
30,MELI-NU,-2.0376414630271147,0.2346024992194831,3,50.015946509042294,2.0376414630271147,stress,6.812048070720778,SLOW
31,MELI-NU,-5.129195474741839,-0.4882835312430937,12,253.51661627828275,5.129195474741839,extreme,6.812048070720778,FAST
32,MELI-NU,2.4574548625763755,0.2295116016806493,40,-64.82043405401544,2.4574548625763755,stress,6.812048070720778,FAST
33,MELI-NU,2.0444051920018644,0.288312319024482,34,-47.78098241486177,2.0444051920018644,stress,6.812048070720778,FAST
34,MELI-NU,-2.030181077487301,-0.311387635025742,58,-173.99935479629676,2.030181077487301,stress,6.812048070720778,FAST
35,MELI-NU,-2.202559752946794,-0.212089164493391,47,58.9950705377384,2.202559752946794,stress,6.812048070720778,FAST
36,MELI-NU,-2.240509884449207,-0.3275059287687435,60,-35.62901362307963,2.240509884449207,stress,6.812048070720778,FAST
