pair,entry_date,exit_date,direction,entry_pos,entry_z,exit_z,n_days,trade_pnl
NU-VLRS,2024-02-07,2024-04-15,SHORT,-1.0,2.069106297972663,0.31598747983572195,68,-1.9588423120108804
NU-VLRS,2024-06-21,2024-07-29,SHORT,-1.0,2.0151856110739286,0.44295110554701306,38,-0.1283166080924798
NU-VLRS,2024-08-15,2024-09-26,SHORT,-1.0,2.232811323353253,0.19405690901823316,42,-0.7815273838832368
NU-VLRS,2024-11-18,2025-01-23,LONG,1.0,-2.2582772051950295,-0.4841070361393218,66,-1.9339574450075183
NU-VLRS,2025-05-14,2025-05-29,SHORT,-1.0,2.1575352994740427,0.4734830728586845,15,1.3604981401516745
NU-VLRS,2025-09-08,2025-10-10,SHORT,-1.0,2.0898201931671267,0.39777033859804334,32,0.13798660951150543
NU-VLRS,2025-11-26,2025-12-16,SHORT,-1.0,2.79587618346861,-0.21437318232779887,20,0.800821581475397
NU-VLRS,2026-01-27,2026-02-09,SHORT,-1.0,2.3464766515560695,-0.3112136732904979,13,1.4746669137750608
NU-VLRS,2026-02-26,2026-04-13,LONG,1.0,-3.0418115860434387,-0.45732669105800544,46,0.3632093724578477
NU-VLRS,2026-05-13,2026-05-29,LONG,1.0,-2.521699395720942,-1.6591837713614899,16,0.09130852128475381
NU-PAX,2023-05-02,2023-07-14,SHORT,-1.0,2.595085179005908,0.46166388747202064,73,-1.508863389252193
NU-PAX,2023-10-11,2023-11-15,SHORT,-1.0,3.011466580744977,0.3438007116645702,35,-0.7354012429576715
NU-PAX,2023-12-27,2024-01-05,LONG,1.0,-2.121130330336426,-0.37182805835514343,9,1.1124495521733007
NU-PAX,2024-02-13,2024-02-20,SHORT,-1.0,2.2314955978943103,0.38741944508412285,7,1.3255309175831964
NU-PAX,2024-05-02,2024-07-25,SHORT,-1.0,2.02511172687271,0.06523344636849619,84,-1.5586554163075697
NU-PAX,2024-08-14,2024-10-01,SHORT,-1.0,2.468760687110752,0.48419083957954917,48,-0.7956511806773476
NU-PAX,2024-11-18,2025-01-16,LONG,1.0,-2.3150142706767105,-0.4100059637064727,59,-2.0496221003276176
NU-PAX,2025-06-10,2025-07-14,LONG,1.0,-2.000076488766446,-0.3462982440575896,34,0.8579783642780301
NU-PAX,2025-08-20,2025-10-13,SHORT,-1.0,2.4028261872550996,0.49931112729076943,54,-0.4438255253343525
